Регистровый номер;Строительный номер;IMO;MMSI;Название судна;Проект судна;Назначение судна;Формула класса;Источник данных;Место постройки;Завод постройки;Город постройки;Страна постройки;Порт приписки;Учреждение регистрации;Текущее состояние;Заложено;Дата закладки киля;Дата значительной части;Спущено на воду;Построено;Длина наибольшая теоретическая;Длина расчетная;Длина габаритная;Длина конструктивная;Ширина габаритная;Ширина конструктивная;Валовая вместимость;Чистая вместимость;Дедвейт;Грузоподъемность;Водоизмещение;Осадка;Высота борта;Надводный борт;Скорость;Тип силовой установки;Заводская модель главного двигателя;Запасы топлива;Количество движителей;Тип движителя;Численность экипажа;Спецперсонал;Число пассажиров коечные;Число пассажиров бескоечных;Общее число пассажиров;Количество лопастей;Холодильная установка;Рабочая температура;Хладагенты;Количество охлаждаемых грузовых помещений;Вместимость охлаждаемого грузового помещения;Количество наливных танков;Объём наливного танка;Суммарный объем наливных танков;Количество контейнеров;Тип контейнеров;Количество палуб;Количество переборок продольных;Количество переборок поперечных;Общее количество переборок;Водяной балласт;Подогреватели;Категория якорных цепей;Калибр якорных цепей
185199;38;;;АГАТ;1365;Рабочий катер;(KM)* R3;Морской регистр, Речной регистр, Fleetphoto;Тобольское СЭП;Тобольский судоремонтный завод ИРП МРФ РСФСР; Тобольск;;Туапсе;РКО (РРР до 2022); Эксплуатируется ;;01/07/2001;;;26/02/2004;8;0;8;24.35;3.08;4.1;7;0;1;14.5;0;1.27;1.51;0.65;0;Дизельная;6ЧН10,5/13 (WР6C150-15);0;;;4;0;         0;         0;0;0;;;;;;0;;0;;;0;0;5;0;0;;;0
190864;23;;;БАРС;Р-83, Р-83А;СВП пассажирское бескоечное;(KM)* [2] HSC ACV passenger-A;Морской регистр, Fleetphoto;;ГП «Московский судостроительный и судоремонтный завод»; Москва;Россия;Петропавловск-Камчатский;РКО (РРР до 2022); Судьба не установлена ;;02/10/2019;;;31/08/2020;11.7;10.9;11.88;;4.76;;8;2;2;;6;0.34;0.75;;29;Дизельная;;;2;Воздушные винты;;;;        20;;4;;;;;;;;;;;1;;;6;;;Трос;13
191984;5972;;;АРТЕМКА;БМК-130МА;Буксирный катер;Рмс1,2;Речной регистр, Fleetphoto;АНДРОПОВ;"Рыбинское судостроительное объединение ""Вымпел"" п/я А-7333"; Рыбинск;;Хабаровск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1987;;;7.85;7.5;2.1;2;16;0;0.55;0;4.55;;1.4;0.74;;Дизельный;ЯАЗ-204Г;;;;2;;;;0;;;;;;;0;;0;;;;0;1;;;;;
192134;505;;;Нерка;14170, шифр «Терьер»;Глиссирующий разъездной катер;Р1,2;Fleetphoto, Речной регистр;ХАБАРОВСК;ГУП «Хабаровский судостроительный завод»; Хабаровск;;Хабаровск  ;РКО (РРР до 2022); неизвестно с 2006 года ;;;;;30.06.2000;;;11.7;0;3.14;0;29.1;0;3.2;0;9.2;;1.45;0.67;;Бензиновый;подвесной;;;;0;;;;0;;;;;;;0;;0;;;;0;2;;;;;
192177;2386К091;;;СКАЙЛАЙН;б/п США;Рыбопромысловое;4;Речной регистр;США;;;;;;;;;;;01.01.1991;;;11.6;0;3.5;0;10;0;0;0.5;0;;1.85;1.2;;Бензиновый;TOYOTA 3UZ-FE;;;;0;;;;0;;;;;;;0;;0;;;;0;0;;;;;
194134;163;;;К-2332;Т-135;Маломерное судно, буксир для лесосплава;Омс2,0(лед20);Речной регистр, Fleetphoto;г. Кострома;Костромской судомеханический завод; Кострома;;Пермь  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1978;;;11.5;10.7;3.8;3.7;39.9;0;1.6;0;23;;1.35;0.49;;Дизельный;6ЧСП 15/18 (3Д6);;;;2;;;;0;;;;;;;0;;0;;;;0;3;;;;;
194864;2308;;;Путейский-102;БМК-130М;Буксирный катер;Р мс 1,2;Речной регистр, Fleetphoto;Рыбинск;"Рыбинское судостроительное объединение ""Вымпел"" п/я А-7333"; Рыбинск;;Омск  ;РКО (РРР до 2022); Не эксплуатируется ;;;;;01.01.1977;;;7.85;7.5;2.1;2;16;0;0.8;0.15;3.29;;1.4;0.8;;Дизельный;ЯАЗ-204В;;;;2;;;;0;;;;;;;0;;0;;;;0;0;;;;;
197160;2603;;;Путейский-105;БМК-130М;Буксирный т/х;Р мс 1,2;Речной регистр, Fleetphoto;Рыбинский ССРЗ;"Рыбинское судостроительное объединение ""Вымпел"" п/я А-7333"; Рыбинск;;Омск  ;РКО (РРР до 2022); Не эксплуатируется ;;;;;01.01.1978;;;7.85;7.5;2.1;2;16;0;1;0;3.85;;1.4;0.8;;Дизельный;ЯАЗ-204Вср-2,5;;;;2;;;;0;;;;;;;0;;0;;;;0;0;;;;;
199692;2992;;;2992;БМК-130М;Катер, рыбопромысловый;Категория 3;Речной регистр, Fleetphoto;Рыбинск;"Рыбинское судостроительное объединение ""Вымпел"" п/я А-7333"; Рыбинск;;Новосибирск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1979;;;7.82;7.5;2.1;2.1;16;0;0.5;0;3.7;;1.4;0.81;;Дизельный;4ЧН10,5/13,0;;;;2;;;;0;;;;;;;0;;0;;;;0;1;;;;;
199799;3069;;;БМК-3069;БМК-130М;Буксирно-моторный катер. Буксировка судов.;Рмс1,2;Речной регистр, Fleetphoto;п/я А-7333, г. Рыбинск;"Рыбинское судостроительное объединение ""Вымпел"" п/я А-7333"; Рыбинск;;Сунтар  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1989;;;7.85;7.5;2.1;2;16.98;0;0.5;0;2.99;;1.4;0.8;;Дизельный;ЯАЗ-204В-ср;;;;0;;;;0;;;;;;;0;;0;;;;0;1;;;;;
202193;3203;;;БМК-3203;БМК-130М;Буксирно-моторный катер. Буксировка судов.;Рмс1,2;Речной регистр, Fleetphoto;п/я А-7333, г. Рыбинск;"Рыбинское судостроительное объединение ""Вымпел"" п/я А-7333"; Рыбинск;;Сунтар  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1989;;;7.85;7.5;2.1;2;16.98;0;0.5;0;2.99;;1.4;0.8;;Дизельный;ЯАЗ-204В-ср;;;;2;;;;0;;;;;;;0;;0;;;;0;1;;;;;
203599;63150518;;;Ирикла-01;Салют-480;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Новосемейкино;;;;;;;;;;;01.01.2015;;;4.72;0;1.7;0;0;0;0;0;0;;0.74;0.5;;Бензиновый;Yamaha F60 FET;;;;0;;;;1;;;;;;;0;;0;;;;0;2;;;;;
203600;15;;;ИРИКЛА-02;СЛК-780;Маломерное рыбопромысловое судно;4;Речной регистр;г.Петрозаводск;;;;;;;;;;;01.01.2014;;;7.8;0;2.8;0;0;0;0;1.4;0;;0.8;0.48;;Бензиновый;Mercury ME F30 ELPT;;;;1;;;;1;;;;;;;0;;0;;;;0;1;;;;;
203601;16;;;ИРИКЛА-03;СЛК-780;Маломерное рыбопромысловое судно;4;Речной регистр;г.Петрозаводск;;;;;;;;;;;01.01.2013;;;7.8;0;2.8;0;0;0;0;1.4;0;;0.8;0.48;;Бензиновый;Mercury ME F30 ELPT;;;;1;;;;1;;;;;;;0;;0;;;;0;1;;;;;
203602;031;;;Ирикла-04;Тактика-490;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Сосновка, Кировская область;;;;;;;;;;;01.01.2015;;;5.05;0;1.8;0;0;0;0;0;0;;0.77;0.3;;Бензиновый;Yamaha F40 FET;;;;1;;;;1;;;;;;;0;;0;;;;0;2;;;;;
203603;0801;;;Ирикла-05;Казанка-5М2;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Казань;;;;;;;;;;;01.01.1986;;;4.6;0;1.65;0;0;0;0;0;0;;0.78;0.6;;Бензиновый;Yamaha 40 XV;;;;1;;;;1;;;;;;;0;;0;;;;0;2;;;;;
203604;844027;;;Ирикла-06;Прогресс-2М;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Куйбышев;;;;;;;;;;;01.01.1987;;;4.6;0;1.7;0;0;0;0;0;0;;0.8;0.6;;Бензиновый;Yamaha 30 HWC;;;;1;;;;1;;;;;;;0;;0;;;;0;3;;;;;
203605;1810;;;Ирикла-07;Казанка-5М3;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Казань;;;;;;;;;;;01.01.1980;;;4.6;0;1.65;0;0;0;0;0;0;;0.78;0.6;;Бензиновый;Yamaha F60 CET;;;;1;;;;1;;;;;;;0;;0;;;;0;2;;;;;
203606;23510;;;Ирикла-08;Казанка-5М2;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Казань;;;;;;;;;;;01.01.1986;;;4.6;0;1.65;0;0;0;0;0;0;;0.78;0.3;;Бензиновый;Yamaha 40VEO;;;;1;;;;1;;;;;;;0;;0;;;;0;2;;;;;
203608;9490157;;;Ирикла-10;Прогресс-2М;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Самара;;;;;;;;;;;01.01.1994;;;4.6;0;1.7;0;0;0;0;0;0;;0.8;0.6;;Бензиновый;Yamaha F25DE;;;;1;;;;1;;;;;;;0;;0;;;;0;3;;;;;
203609;0369;;;Ирикла-11;Казанка-5М3;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Казань;;;;;;;;;;;01.01.1986;;;4.6;0;1.65;0;0;0;0;0;0;;0.78;0.6;;Бензиновый;Yamaha 40 XV;;;;1;;;;1;;;;;;;0;;0;;;;0;2;;;;;
203610;824181;;;Ирикла-12;Прогресс-2М;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Куйбышев;;;;;;;;;;;01.01.1982;;;4.6;0;1.7;0;0;0;0;0;0;;0.8;0.6;;Бензиновый;Yamaha 30 HWC;;;;1;;;;1;;;;;;;0;;0;;;;0;3;;;;;
203613;06704;;;Ирикла-15;Прогресс-4М;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Куйбышев;;;;;;;;;;;01.01.1978;;;4.6;0;1.7;0;0;0;0;0;0;;0.8;0.6;;Бензиновый;Вихрь-30;;;;1;;;;1;;;;;;;0;;0;;;;0;3;;;;;
203614;911336;;;Ирикла-16;Прогресс-2М;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Оренбург;;;;;;;;;;;01.01.1991;;;4.6;0;1.7;0;0;0;0;0;0;;0.8;0.6;;Бензиновый;SUZUKI DT9.9;;;;1;;;;1;;;;;;;0;;0;;;;0;3;;;;;
203615;00074;;;Ирикла-17;Казанка-5М2;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Казань;;;;;;;;;;;01.01.1986;;;4.6;0;1.65;0;0;0;0;0;0;;0.78;0.6;;Бензиновый;Yamaha F20BE;;;;1;;;;1;;;;;;;0;;0;;;;0;2;;;;;
203616;94032;;;Ирикла-18;Прогресс-2М;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Самара;;;;;;;;;;;01.01.1994;;;4.6;0;1.7;0;0;0;0;0;0;;0.8;0.6;;Бензиновый;;;;;1;;;;1;;;;;;;0;;0;;;;0;3;;;;;
203617;10504;;;Ирикла-19;Казанка-5М3;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Казань;;;;;;;;;;;01.01.1989;;;4.6;0;1.65;0;0;0;0;0;0;;0.78;0.6;;Бензиновый;Yamaha 30 HWC;;;;1;;;;1;;;;;;;0;;0;;;;0;2;;;;;
203620;712490;;;Ирикла-22;Казанка-5М2;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Казань;;;;;;;;;;;01.01.1971;;;4.6;0;1.65;0;0;0;0;0;0;;0.78;0.6;;Бензиновый;Yamaha 55 BED;;;;1;;;;1;;;;;;;0;;0;;;;0;2;;;;;
203621;930697;;;Ирикла-23;Прогресс-2М;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Самара;;;;;;;;;;;01.01.1992;;;4.6;0;1.7;0;0;0;0;0;0;;0.8;0.6;;Бензиновый;Yamaha 25 BWC;;;;1;;;;1;;;;;;;0;;0;;;;0;3;;;;;
203622;842446;;;Ирикла-24;Прогресс-2М;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Куйбышев;;;;;;;;;;;01.01.1984;;;4.6;0;1.7;0;0;0;0;0;0;;0.8;0.6;;Бензиновый;Yamaha 30 HWC;;;;1;;;;1;;;;;;;0;;0;;;;0;3;;;;;
203626;16744;;;Ирикла-26;Казанка-5М3;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Казань;;;;;;;;;;;01.01.1983;;;4.6;0;1.66;0;0;0;0;0;0;;0.78;0.6;;Бензиновый;Yamaha 55 BED;;;;1;;;;1;;;;;;;0;;0;;;;0;2;;;;;
203627;9408;;;Ирикла-27;Прогресс-2М;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Куйбышев;;;;;;;;;;;01.01.1980;;;4.6;0;1.7;0;0;0;0;0;0;;0.8;0.6;;Бензиновый;Yamaha 30 HWC;;;;1;;;;1;;;;;;;0;;0;;;;0;3;;;;;
203628;0449;;;Ирикла-28;Казанка-5М3;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Казань;;;;;;;;;;;01.01.1989;;;4.6;0;1.65;0;0;0;0;0;0;;0.78;0.6;;Бензиновый;Yamaha 40XW;;;;1;;;;1;;;;;;;0;;0;;;;0;2;;;;;
203629;19953;;;Ирикла-29;Казанка-5М2;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Казань;;;;;;;;;;;01.01.1984;;;4.6;0;1.65;0;0;0;0;0;0;;0.78;0.6;;Бензиновый;Yamaha 40VEO;;;;1;;;;1;;;;;;;0;;0;;;;0;2;;;;;
203630;0182;;;Ирикла-30;Казанка-5М2;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Казань;;;;;;;;;;;01.01.1982;;;4.6;0;1.65;0;0;0;0;0;0;;0.78;0.6;;Бензиновый;Yamaha 40VEO;;;;1;;;;1;;;;;;;0;;0;;;;0;2;;;;;
203631;724490;;;Ирикла-31;Прогресс-2М;Моторная лодка, рыбопромысловое судно;4;Речной регистр;г.Куйбышев;;;;;;;;;;;01.01.1982;;;4.6;0;1.7;0;0;0;0;0;0;;0.8;0.6;;Бензиновый;Вихрь-30;;;;1;;;;2;;;;;;;0;;0;;;;0;3;;;;;
203720;8357;;;Амур-1;Амур;Маломерное судно, перевозка пассажиров;3;Речной регистр;Российская Федерация;;;;;;;;;;;01.01.1976;;;6.12;5.65;1.88;0;0;0;0;750;1.24;;0.93;0.48;;Бензиновый;YAMAHA F100;;;;1;;;;9;;;;;;;0;;0;;;;0;2;;;;;
203723;RU-SLVE0208F707;;;Сильвер;Silver Eagle Cabin 650;Моторная лодка. Маломерное судно для перевозки пассажиров;4;Речной регистр;Российская Федерация;;;;;;;;;;;01.01.2007;;;6.5;0;2.4;0;0;0;0;0.7;0;;1;0.6;;Бензиновый;YAMAHA F150AET;;;;1;;;;5;;;;;;;0;;0;;;;0;0;;;;;
203762;BWCE6586A404;;;Варяг;BOSTON WHALER 170;Моторная лодка, вспомогательное судно;4;Речной регистр;США;;;;;;;;;;;01.01.2004;;;5.18;0;2.08;0;0;0;0;0;0;;1;0.77;;;;;;;1;;;;6;;;;;;;0;;0;;;;0;0;;;;;
203764;1329;;;Хантер;Казанка-5М2;Моторная лодка, вспомогательное судно;4;Речной регистр;Российская Федерация;;;;;;;;;;;01.01.1980;;;4.9;0;1.65;0;0;0;0;0.4;0;;0.72;0.52;;Бензиновый;;;;;1;;;;3;;;;;;;0;;0;;;;0;2;;;;;
203765;000672;;;Виктория;ORIONBOAT 49D;Моторная лодка, вспомогательное судно;4;Речной регистр;Российская Федерация;;;;;;;;;;;01.01.2017;;;5;0;1.85;0;0;0;0;0.4;912;;0.88;0.47;;Бензиновый;Suzuki DF 70ATL;;;;1;;;;5;;;;;;;0;;0;;;;0;0;;;;;
203799;14*302012;;;Тримаран-720;R-7.2;Маломерное судно, тримаран, перевозка пассажиров;3;Речной регистр;"ЗАО ""Арт-Металл"", г.Саратов";;;;;;;;;;;01.01.2014;;;7.2;0;2.5;0;0;0;0;0.9;1.14;;0.78;0.48;;Бензиновый;Mercury FourStroke;;;;1;;;;11;;;;;;;0;;0;;;;0;0;;;;;
203800;16*102027;;;Тримаран-750;R-7.5;Маломерное судно, тримаран, перевозка пассажиров;3;Речной регистр;"ЗАО ""Арт-Металл"", г.Саратов";;;;;;;;;;;01.01.2016;;;7.5;0;2.5;0;0;0;0;0.9;1.14;;0.78;0.48;;Бензиновый;ПЛМ MERCURY F150 EXLPT СП;;;;1;;;;11;;;;;;;0;;0;;;;0;0;;;;;
203809;18*102 034;;;Тримаран Р-750;R-7.5;Маломерное судно, тримаран, перевозка пассажиров;3;Речной регистр;"ЗАО ""Арт-Металл"", г.Саратов";;;;;;;;;;;01.01.2018;;;7.5;0;2.5;0;0;0;0;0.9;1.29;;0.78;0.48;;Бензиновый;Mercury F150 EFI;;;;1;;;;11;;;;;;;0;;0;;;;0;4;;;;;
203812;14*102 12;;;Катамаран Р-7,2;Р-7,2;Маломерное судно, катамаран, перевозка пассажиров;3;Речной регистр;"ЗАО ""Арт-Металл"", г.Саратов";;;;;;;;;;;01.01.2014;;;7.5;0;2.5;0;0;0;0;0.9;1.34;;0.78;0.38;;Бензиновый;Mercury F150 LX EFI;;;;1;;;;11;;;;;;;0;;0;;;;0;4;;;;;
203851;59;;;Бонопостановщик-59;Пилигрим 7500;Катер бонопостановщик;Категория 4;Fleetphoto, Речной регистр;"ООО ""ЭКОсервис-НЕФТЕГАЗ"", г.Жуковский, Московская область";ООО «ЭКОсервис-Нефтегаз»; Жуковский;;Нижний Новгород  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2015;;;7.5;7.05;2.3;0;0;0;0;1.7;3.3;;1.22;0.82;;Бензиновый;TOHATSU-HONDA;;;;4;;;;0;;;;;;;0;;0;;;;0;7;;;;;
203852;62;;;Нефтесборщик-62;Пилигрим 7500;Катер нефтесборщик;Категория 4;Fleetphoto, Речной регистр;г.Жуковский, Московская область;ООО «ЭКОсервис-Нефтегаз»; Жуковский;;Нижний Новгород  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2015;;;7.5;7.05;2.3;0;0;0;0;1.7;3.3;;1.22;0.82;;Бензиновый;TOHATSU-HONDA;;;;2;;;;0;;;;;;;0;;0;;;;0;0;;;;;
203853;63;;;Нефтесборщик-63;Пилигрим 7500;Катер нефтесборщик;Категория 4;Fleetphoto, Речной регистр;г.Жуковский, Московская область;ООО «ЭКОсервис-Нефтегаз»; Жуковский;;Нижний Новгород  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2015;;;7.5;7.05;2.3;0;0;0;0;1.7;3.3;;1.22;0.82;;Бензиновый;TOHATSU-HONDA;;;;2;;;;0;;;;;;;0;;0;;;;0;7;;;;;
203865;60;;;Бонопостановщик 60;Пилигрим 7500;Катер-бонопостановщик;Категория 4;Fleetphoto, Речной регистр;г.Жуковский;ООО «ЭКОсервис-Нефтегаз»; Жуковский;;Нижний Новгород  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2015;;;7.5;7.05;2.3;0;0;0;0;1.7;3.3;;1.22;0.82;;Бензиновый;TOHATSU-HONDA;;;;2;;;;4;;;;;;;0;;0;;;;0;7;;;;;
203866;64;;;Нефтесборщик 64;Пилигрим 7500;Судно-нефтесборщик;Категория 4;Fleetphoto, Речной регистр;г.Жуковский Московской области;ООО «ЭКОсервис-Нефтегаз»; Жуковский;;Нижний Новгород  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2015;;;7.5;0;2.3;0;0;0;0;1.7;3.3;;1.22;0.82;;Бензиновый;TOHATSU-HONDA;;;;2;;;;4;;;;;;;0;;0;;;;0;7;;;;;
206406;3456;;;БЛПК-40;БМК-130М;Буксирный мотокатер;Рмс1,2;Речной регистр, Fleetphoto;Рыбинск;"Рыбинское судостроительное объединение ""Вымпел"" п/я А-7333"; Рыбинск;;Братск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1980;;;7.85;7.5;2.1;2;16;0;0.28;0;3.7;;1.4;0.8;;Дизельный;ЯМЗ-236ср2-1;;;;2;;;;0;;;;;;;0;;0;;;;0;0;;;;;
207135;3825;;;3825;БМК-130М;Промысловое судно;Лмс0,6;Речной регистр, Fleetphoto;Рыбинск;"Рыбинское судостроительное объединение ""Вымпел"" п/я А-7333"; Рыбинск;;Новосибирск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1981;;;7.85;7.5;2.1;2;16;0;0.5;0;3.7;;1.4;0.8;;Дизельный;ЯАЗ-204А;;;;2;;;;0;;;;;;;0;;0;;;;0;0;;;;;
207140;3830;;;БЛПК-19;БМК-130М;Буксирный катер;Рмс1,2;Речной регистр, Fleetphoto;Рыбинск;"Рыбинское судостроительное объединение ""Вымпел"" п/я А-7333"; Рыбинск;;Братск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1981;;;7.85;7.5;2.1;2;16;0;0.3;0;3.7;;1.4;0.8;;Дизельный;ЯАЗ-204В-ср;;;;2;;;;0;;;;;;;0;;0;;;;0;0;;;;;
207190;3880;;;3880;БМК-130М;Промысловое судно;Категория 3;Речной регистр, Fleetphoto;Рыбинск;"Рыбинское судостроительное объединение ""Вымпел"" п/я А-7333"; Рыбинск;;Квашнино  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1981;;;7.82;7.5;2.1;2;17;0;0.5;0;2.99;;1.4;0.81;;Дизельный;ЯАЗ-М204А;;;;2;;;;0;;;;;;;0;;0;;;;0;1;;;;;
207235;3825;;;3821;БМК-130М;Промысловое судно;Категория 3;Речной регистр, Fleetphoto;Рыбинск;"Рыбинское судостроительное объединение ""Вымпел"" п/я А-7333"; Рыбинск;;Квашнино  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1981;;;7.82;7.5;2.1;2;17;0;0.5;0;2.99;;1.4;0.81;;Дизельный;ЯАЗ-М204Г;;;;2;;;;0;;;;;;;0;;0;;;;0;1;;;;;
208404;119;;;119;А 8;Амфибийное судно на воздушной подушке, разъездное;Рмс1,2/0,6СВП;Речной регистр;г. Нижний Новгород;;;;;;;;;;;01.01.2007;;;7.56;7.05;3.3;2.48;15.5;0;0.8;0;1.67;;0.52;0.32;;Бензиновый;ЗМЗ409105;;;;2;;;;7;;;;;;;0;;0;;;;0;2;;;;;
