Регистровый номер;Строительный номер;IMO;MMSI;Название судна;Проект судна;Назначение судна;Формула класса;Источник данных;Место постройки;Завод постройки;Город постройки;Страна постройки;Порт приписки;Учреждение регистрации;Текущее состояние;Заложено;Дата закладки киля;Дата значительной части;Спущено на воду;Построено;Длина наибольшая теоретическая;Длина расчетная;Длина габаритная;Длина конструктивная;Ширина габаритная;Ширина конструктивная;Валовая вместимость;Чистая вместимость;Дедвейт;Грузоподъемность;Водоизмещение;Осадка;Высота борта;Надводный борт;Скорость;Тип силовой установки;Заводская модель главного двигателя;Запасы топлива;Количество движителей;Тип движителя;Численность экипажа;Спецперсонал;Число пассажиров коечные;Число пассажиров бескоечных;Общее число пассажиров;Количество лопастей;Холодильная установка;Рабочая температура;Хладагенты;Количество охлаждаемых грузовых помещений;Вместимость охлаждаемого грузового помещения;Количество наливных танков;Объём наливного танка;Суммарный объем наливных танков;Количество контейнеров;Тип контейнеров;Количество палуб;Количество переборок продольных;Количество переборок поперечных;Общее количество переборок;Водяной балласт;Подогреватели;Категория якорных цепей;Калибр якорных цепей
124759;-;;;МК-14;б\п;Буксирный т/х;О мс 2,0;Речной регистр;Архангельск;;;;;;;;;;;01.01.1959;;;10.6;10.6;3.3;3.3;45;0;0;0;0;;1.25;0.25;;Дизельный;К-161-2;;;;2;;;;0;;;;;;;0;;0;;;;0;3;;;;;
140954;512;9753727;;СТЕПАН МАКАРОВ;;Пассажирское;KM(*) Icebreaker6 AUT1 OMBO FF3WS DYNPOS-2 ANTI-ICE ECO WINTERIZATION(-35) passenger ship/supply vessel/oil recovery ship;Морской регистр;;;;Финляндия;Большой порт Санкт-Петербург;;;;17/12/2015;;;15/06/2017;99.74;0;0;;21.23;;8365;2509;3880;;6930;7.9;11;;16;Дизель-электрическая;;2320;2;ГСАУС типа АЗИПОД;;0;        72;         0;;4;;;;;;2;754;;;;2;;;8;2408;ПТПБПГ;Особой прочности;50
147553;3;;;ПАРОМНАЯ ПЕРЕПРАВА №3;ПАРОМ;Паромная переправа;Л 0,6;Речной регистр;Большая Волга;;;;;;;;;;;01.01.1949;;;11.36;11.01;14.4;7;250;0;20;20;88;;1.4;0.6;;;;;;;2;;;;30;;;;;;;0;;0;;;;0;2;;;;;
168855;901;;;2187;БМК-130М;Катер, рыбопромысловый;Категория 3;Речной регистр, Fleetphoto;Рыбинск;Рыбинский судостроительный завод; Рыбинск;;Новосибирск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1970;;;7.85;7.5;2.1;2;17;0;0.5;0;2.99;;1.4;0.8;;Дизельный;4ЧН10,5/13,0;;;;1;;;;0;;;;;;;0;;0;;;;0;1;;;;;
172140;7874;;;БМК-76;БМК-130М;Буксирно-моторный катер. Буксировка судов.;Рмс1,2;Речной регистр, Fleetphoto;Рыбинский СЗ, г. Рыбинск;"Рыбинское судостроительное объединение ""Вымпел"" п/я А-7333"; Рыбинск;;Якутск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1992;;;7.85;7.5;2.1;2;16.98;0;0.5;0;3;;1.4;0.8;;Дизельный;ЯАЗ-204В;;;;4;;;;0;;;;;;;0;;0;;;;0;0;;;;;
172361;RU-ABS80017E818;;;Волжанка-85;Волжанка 85;Моторная лодка. Перевозка не более одиннадцати пассажиров.;Категория 4;Речной регистр;г. Самара;;;;;;;;;;;01.01.2018;;;8.7;0;2.9;0;0;0;1.1;0;3;;1.35;1;;;Yamaha F300 BET;;;;1;;;;11;;;;;;;0;;0;;;;0;2;;;;;
172649;2;;;ПНП-2;ПНП1;Нефтеперекачивающая станция, несамоходное. Перекачка нефтепродуктов.;Рмс1,2;Речной регистр;"ООО ""Жатайский завод металлоконструкций""";;;;;;;;;;;01.01.2021;;;11;10.3;5;4.8;74.7;0;0.5;0;11.8;;1.5;1.23;;;;;;;0;;;;0;;;;;;;0;;0;;;;2;1;;;;;
180218;16;;;ОРЛАН;;СВП пассажирское бескоечное;(KM)* [2] HSC ACV passenger-A;Морской регистр;;;;Россия;Петропавловск-Камчатский;;;;17/05/2018;;;16/12/2019;11.7;10.9;11.88;;4.76;;8;2;2;;6;0.34;0.75;;29;Дизельная;;400;2;Воздушные винты;;;;        20;;4;;;;;;;;;;;1;;;6;;;Трос;13
180222;18;;;БЕРКУТ;391А/001.2016;СВП пассажирское бескоечное;(KM)* [2] HSC ACV passenger-A;Морской регистр, Fleetphoto, Речной регистр;Каширский ССЗ;(Rus); (Россия);Россия;Петропавловск-Камчатский;РМРС; Эксплуатируется ;;03/07/2018;;;16/12/2019;11.7;10.9;11.88;24.2;4.76;3.7;8;2;2;0;6;0.34;0.75;0.61;29;Дизельная;6ЧСП 15/18;400;2;Воздушные винты;2;;;        20;12;4;;;;;;0;;0;;;1;0;7;6;;;Трос;13
182616;96;;;Бурят;Т-135;Буксир;О мс1,5(ЛЕД20);Речной регистр, Fleetphoto;Кострома;Костромской судомеханический завод; Кострома;;Темрюк  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1974;;;11.9;10.7;3.9;3.7;70.8;0;0;0;0;;1.35;0.49;;Дизельный;WD615/61C-15B;;;;0;;;;0;;;;;;;0;;0;;;;0;3;;;;;
