Регистровый номер;Строительный номер;IMO;MMSI;Название судна;Проект судна;Назначение судна;Формула класса;Источник данных;Место постройки;Завод постройки;Город постройки;Страна постройки;Порт приписки;Учреждение регистрации;Текущее состояние;Заложено;Дата закладки киля;Дата значительной части;Спущено на воду;Построено;Длина наибольшая теоретическая;Длина расчетная;Длина габаритная;Длина конструктивная;Ширина габаритная;Ширина конструктивная;Валовая вместимость;Чистая вместимость;Дедвейт;Грузоподъемность;Водоизмещение;Осадка;Высота борта;Надводный борт;Скорость;Тип силовой установки;Заводская модель главного двигателя;Запасы топлива;Количество движителей;Тип движителя;Численность экипажа;Спецперсонал;Число пассажиров коечные;Число пассажиров бескоечных;Общее число пассажиров;Количество лопастей;Холодильная установка;Рабочая температура;Хладагенты;Количество охлаждаемых грузовых помещений;Вместимость охлаждаемого грузового помещения;Количество наливных танков;Объём наливного танка;Суммарный объем наливных танков;Количество контейнеров;Тип контейнеров;Количество палуб;Количество переборок продольных;Количество переборок поперечных;Общее количество переборок;Водяной балласт;Подогреватели;Категория якорных цепей;Калибр якорных цепей
236013;6;;;Наплавной мост-6;25285;Плавучий объект, наплавной мост для переправы транспорта и пешеходов;Р1,2 IV;Речной регистр, Fleetphoto;НЛРВПиС, Шлиссельбург;ООО «Невский ССРЗ»; Шлиссельбург;;Санкт-Петербург  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2010;;;25.2;20.3;8.5;8.5;181.26;0;0;41;101.8;;2.3;1.716;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;4;;;;;
236045;1;;;ПРП-15-1;НТК15;Плавучий объект, причальный понтон;Р1,2 I;Речной регистр, Fleetphoto;"ООО ""РУСКОР"", Новая Ладога";ООО «Рускор»; Новая Ладога;;Санкт-Петербург  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2015;;;15.1;14.6;5.61;5.5;100;0;3.75;0;18.8;;1.2;0.97;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;3;;;;;
236046;2;;;ПРП-15-2;НТК15;Плавучий объект, плавучий причал;Р 1,2 I;Речной регистр, Fleetphoto;"ООО ""РУСКОР"", Новая Ладога";ООО «Рускор»; Новая Ладога;;Санкт-Петербург  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2015;;;15.1;14.6;5.61;5.5;100;0;3.75;0;18.8;;1.2;0.97;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;3;;;;;
236072;;;;Желтый;б/п;Понтон. Плавучий объект, причальный понтон для посадки и высадки пассажиров;Л0,6 I;Речной регистр, Fleetphoto;Санкт-Петербург;(Rus); (Россия);;Санкт-Петербург  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1999;;;15.7;14.4;4.35;4.13;65.1;0;0;0;14.7;;1.1;0.83;;;;;;;1;;;;0;;;;;;;0;;0;;;;0;2;;;;;
236118;7;;;Наплавной мост-7;25285;Плавучий объект, наплавной мост для переправы транспорта и пешеходов;Р1,2 IV;Речной регистр, Fleetphoto;Вознесенье;ОАО «Вознесенская ремонтно-эксплуатационная база флота»; Вознесенье;;Санкт-Петербург  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2011;;;25.2;20.3;8.5;8.5;693.4;0;0;41;101.8;;2.3;1.716;;;;;;;0;;;;0;;;;;;;0;;0;;;;3;4;;;;;
236309;1;;;ДБ-16;ДБ-16/0062;Причальный понтон;Р1,2 I;Речной регистр, Fleetphoto;ССРЗ им.Бутякова С.Н.;ОАО «ССРЗ им. Бутякова С.Н.»; Звенигово;;Нижний Новгород  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2009;;;22.3;22;8.3;8;758.9;0;2.63;0;56.27;;2;1.577;;;;;;;1;;;;0;;;;;;;0;;0;;;;0;2;;;;;
236419;1;;;20815П - №1;20815П;Плавучий причал, стоечное;Р1,2(лед10);Fleetphoto, Речной регистр;Архангельск;СРЗ «Красная кузница» (ООО «Нью Оптимист»); Архангельск;;Архангельск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;23.11.2012;;;20.4;20;8.4;8;235.2;0;43.25;0;70.38;;1.5;1;;;;;;;0;;;;0;;;;;;;0;;0;;;;1;3;;;;;
236420;12;;;ПП-01;ПК 113-ЛД;Плавучий причал;Р1,2 I;Речной регистр, Fleetphoto;Архангельск;Лайский судоремонтный завод; Архангельск;;Архангельск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2013;;;15;15;5;5;133;0;2.5;2.5;19.6;;1.9;1.6;;;;;;;0;;;;30;;;;;;;0;;0;;;;0;2;;;;;
236421;13;;;ПП-02;ПК 113-ЛД;Плавучий причал;Р1,2 I;Речной регистр, Fleetphoto;"ООО ""Лайский СРЗ"",  Архангельск";Лайский судоремонтный завод; Архангельск;;Архангельск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2013;;;15;15;5;5;133;0;2.5;2.5;19.6;;1.9;1.6;;;;;;;0;;;;30;;;;;;;0;;0;;;;0;2;;;;;
236422;14;;;ПП-03;ПК 113-ЛД;Плавучий причал;Р1,2 I;Речной регистр, Fleetphoto;Архангельск;Лайский судоремонтный завод; Архангельск;;Архангельск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2013;;;15;15;5;5;133;0;2.5;2.5;19.6;;1.9;1.6;;;;;;;0;;;;30;;;;;;;0;;0;;;;0;2;;;;;
236423;15;;;ПП-04;ПК 113-ЛД;Плавучий причал;Р1,2 I;Речной регистр, Fleetphoto;Архангельск;Лайский судоремонтный завод; Архангельск;;Архангельск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2013;;;15;15;5;5;133;0;2.5;2.5;19.6;;1.9;1.6;;;;;;;0;;;;30;;;;;;;0;;0;;;;0;2;;;;;
236424;33;;;Понтон 3/23;ЛД14П;Плавучий причал;Р1,2 I;Речной регистр, Fleetphoto;Архангельск;Лайский судоремонтный завод; Архангельск;;Лайский Док  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2012;;;14.35;14.35;7.2;7.2;203.8;0;40;40;22.6;;2.34;1.84;;;;;;;0;;;;60;;;;;;;0;;0;;;;0;2;;;;;
236444;16;;;ПП-05;ПК 113-ЛД;Плавучий причал;Р1,2 I;Речной регистр, Fleetphoto;Архангельск;Лайский судоремонтный завод; Архангельск;;Архангельск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2013;;;15;15;5;5;133;0;2.5;2.5;19.6;;1.9;1.6;;;;;;;0;;;;30;;;;;;;0;;0;;;;0;2;;;;;
236445;17;;;ПП-06;ПК 113-ЛД;Плавучий причал;Р1,2 I;Речной регистр, Fleetphoto;Архангельск;Лайский судоремонтный завод; Архангельск;;Архангельск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2013;;;15;15;5;5;133;0;2.5;2.5;19.6;;1.9;1.6;;;;;;;0;;;;30;;;;;;;0;;0;;;;0;2;;;;;
236446;18;;;ПП-07;ПК 113-ЛД;Плавучий причал;Р1,2 I;Речной регистр, Fleetphoto;Архангельск;Лайский судоремонтный завод; Архангельск;;Архангельск  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.2013;;;15;15;5;5;133;0;2.5;2.5;19.6;;1.9;1.6;;;;;;;0;;;;30;;;;;;;0;;0;;;;0;2;;;;;
236489;25;;;№2004;Р127;Баржа-площадка, секция наплавного моста;Р1,2 III;Речной регистр, Fleetphoto;Криуши;Криушинский судоремонтный завод ВОРП; Криуши;;(Россия)  ;РКО (РРР до 2022); Не эксплуатируется ;;;;;01.01.1983;;;35.54;35;7.54;7.5;324.6;0;40;40;99.6;;1.3;0.877;;;;;;;0;;;;0;;;;;;;0;;0;;;;2;5;;;;;
236495;;;;ПП-08;ПП-20;Плавучий причал;Р1,2 I;Fleetphoto, Речной регистр;ООО «Судосервис»;ООО «Судосервис»; Архангельск;;Архангельская область  ;РКО (РРР до 2022); Эксплуатируется ;;;;;20.10.2017;;;17.73;17.5;6.73;6.5;135.8;0;6.8;6.8;34;;1.28;0.88;;;;;;;0;;;;80;;;;;;;0;;0;;;;0;3;;;;;
236496;9;;;ПП-09;ПП-20;Плавучий причал;Р1,2 I;Fleetphoto, Речной регистр;"ООО ""Судосервис"" , Архангельск";ООО «Судосервис»; Архангельск;;Архангельская область  ;РКО (РРР до 2022); Эксплуатируется ;;;;;23.10.2017;;;17.73;17.5;6.73;6.5;135.8;0;6.8;6.8;34;;1.28;0.88;;;;;;;0;;;;80;;;;;;;0;;0;;;;0;3;;;;;
237413;08612344;;;ПЖ-61/34;824, 824М;Плавучий объект, грузовой причал для швартовки и снабжения судов;О2,0 IV;Fleetphoto, Речной регистр;Свирская судостроительная верфь;Свирская судостроительная верфь; Никольский;;Астрахань  ;РКО (РРР до 2022); Эксплуатируется ;;;;;01.01.1983;;;36.6;36;9.18;9;824.9;0;404.16;0;423.89;;2.6;1.252;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;11;;;;;
237454;;;;АМАЗОНКА;ППМС/1;Плавучий причал маломерных судов;Р1,2 III;Речной регистр;г.Волгоград;;;;;;;;;;;01.01.2015;;;40.5;40.5;30.15;30.15;5.7;0;0;0;14.2;;0.53;0.13;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;0;;;;;
237471;;;;Понтон пр.2028;МСХ2028;Причальный понтон;Р1,2 IV;Речной регистр;Волгоград;;;;;;;;;;;01.01.2017;;;27.68;27.5;8.98;8.8;280.6;0;0;0;0;;1.3;1.04;;;;;;;0;;;;0;;;;;;;0;;0;;;;0;0;;;;;
