Название судна;Регистровый номер;Номер ИМО;Бывшее название;Позывной;Порт приписки;Флаг;Символ класса;Переоборудование/модернизация существенного характера;Материал корпуса;Тип судна;Дата закладки киля;Дата постройки;Страна постройки;Строительный номер;Дата значительной части;Значительная часть;Валовая вместимость;Чистая вместимость;Дедвейт;Водоизмещение;Длина наибольшая (теоретическая);Длина габаритная;Длина расчетная;Ширина габаритная;Высота борта;Осадка;Скорость;Тип силовой установки;Главные двигатели;Количество и мощность ГЭД;Количество и тип движителя;Количество лопастей;Количество и мощность генераторов;Главные котлы;Холодильная установка;Рабочая температура;Хладагенты;Радио-навигационное оборудование;Количество и кубатура грузовых трюмов;Охлаждаемые грузовые помещения;Наливные танки;Количество и тип контейнеров;Количество палуб;Количество переборок;Число пассажиров коечные;Число пассажиров бескоечных;Спецперсонал;Грузовые люки (число и размер в свету);Стрелы;Краны;Запасы топлива;Типы топлива;Водяной балласт;Подогреватели;Характеристика снабжения;Категория якорных цепей;Калибр якорных цепей
2033;876085;;;;Большой порт Санкт-Петербург;Россия;K* R2-RSN;;Сталь;Генгруз/Баржа;30.04.1987;29.10.1987;Украина;6032;;;1197 MK-1969;359 MK-1969;2190.000 т.;2840 т.;85.70 м.;85.70 м.;83.00 м.;17.50 м.;3.30 м.;2.25 м.;0.0;Несамоходное;;;;0;;;;;;;;;;;1.0;16.0;0.0;0.0;0.0;;;;0;;1531 m3;;360;Обыкновенная;28.0
2034;886530;;;;Большой порт Санкт-Петербург;Россия;K* R2-RSN Pontoon;;;Баржа;01.05.1988;30.08.1988;Украина;6040;;;1197 MK-1969;359 MK-1969;2190.000 т.;2840 т.;85.80 м.;85.80 м.;83.00 м.;17.50 м.;3.30 м.;2.25 м.;0.0;Несамоходное;;;;0;;;;;;;;;;;1.0;16.0;0.0;0.0;0.0;;;;0;;1531 m3;;360;Обыкновенная;34.0
28 MAY;120378;;;;Баку;Азербайджанская Республика;KE(*) Berth-connected ship floating dock;;;Плавдок;01.06.2012;30.04.2014;Азербайджанская Республика;H101;;;21077 MK-1969;6323 MK-1969;20085.000 т.;48474 т.;173.42 м.;173.42 м.;161.62 м.;53.81 м.;17.50 м.;5.70 м.;0.0;Несамоходное;;;;0;;;;;;;;;;;2.0;5.0;0.0;0.0;0.0;;;2*20.0;0;Дизельное;28000 m3;;0;;0.0
50 ЛЕТ ПОБЕДЫ;895826;9152959;;UGYU;Мурманск;Россия;KM(*) LL1 [2] А;;Сталь;Ледокол;04.10.1989;12.03.2007;Россия;705;;;23439 MK-1969;7032 MK-1969;3505.000 т.;25840 т.;159.60 м.;159.60 м.;139.80 м.;30.00 м.;17.20 м.;11.00 м.;21.0;Атомная;"Год постройки ГД: 1991 Страна постройки: Россия Фирма постройки ГД: ""КИРОВСКИЙ ЗАВОД"", АКЦИОНЕРНОЕ ОБЩЕСТВО Количество и мощность ГД: 2*27600 Марка ГД: ТГГ-27,5 ОМ5";3* 17600;3 - Винт фиксированного шага со съемными лопастями;4;5* 2000 1* 1000 2* 200 6* 9000;Кол-во:2 Тип теплоносителя: Неорганический Тип: АП-Атомный паровой Давление: 32 Площадь поверхности нагрева: Паропроизводительность (т/ч): Кол-во форсунок:;;;;Аппаратура автоматической идентификационной системы Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Аппаратура ОВЧ двусторонней радиотелефонной связи с воздушными судами Гирокомпас Командно-трансляционное устройство Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Оборудование системы опознавания судов и слежения за ними на дальнем расстоянии Приемник КВ буквопечатающей аппаратуры (не используется) Приемник расширенного группового вызова Приемник службы НАВТЕКС Приемник цифрового избирательного вызова (не используется) Приемник электронной системы определения местоположения (ЭСОМ) Приемоиндикатор ГНСС с ГЛОНАСС Радиолокационная станция (не СОЛАС) Радиолокационная станция со средством автоматической радиолокационной прокладки (РЛС САРП) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ/ВЧ (ГМССБ) Регистратор данных рейса Система контроля дееспособности вахтенного помощника капитана Система приема внешних звуковых сигналов Система управления курсом судна (авторулевой) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Судовая система охранного оповещения Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Электронная картографическая навигационно-информационная система (ЭКНИС) Эхолот;;;;;5.0;9.0;210.0;0.0;0.0;;;2*3.2 3*16.0 2*10.0;500;Ядерное, Дизельное;1760 m3;;2700;Повышенной прочности;81.0
90134;140403;;;UNFO;Актау;Республика Казахстан;KM(*) HSC;;Сплав на основе алюминия;Обслуживающее судно;04.07.2014;07.05.2015;Эстония;90134;;;15;4;5.000 т.;19 т.;13.57 м.;14.43 м.;12.23 м.;4.50 м.;1.20 м.;0.46 м.;15.0;Дизельная;Год постройки ГД: 2014 Страна постройки: Финляндия Фирма постройки ГД: SISU DIESEL INC. Количество и мощность ГД: 2*235 Марка ГД: 74CTIM;;2 - Водометный;9;2* 3;;;;;Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Командно-трансляционное устройство Магнитный компас Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;1.0;3.0;0.0;0.0;0.0;;;;0;Дизельное;0 m3;;55;Трос;0.0
90140;140418;;;UNFP;Актау;Республика Казахстан;KM(*) HSC;;Сплав на основе алюминия;Обслуживающее судно;04.07.2014;07.05.2015;Эстония;90140;;;15;4;5.000 т.;19 т.;13.57 м.;14.43 м.;12.23 м.;4.50 м.;1.20 м.;0.49 м.;15.0;Дизельная;Год постройки ГД: 2014 Страна постройки: Финляндия Фирма постройки ГД: SISU DIESEL INC. Количество и мощность ГД: 2*235 Марка ГД: 74CTIM;;2 - Водометный;9;2* 3;;;;;Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Командно-трансляционное устройство Магнитный компас Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;1.0;3.0;0.0;0.0;0.0;;;;1;Дизельное;0 m3;;55;Трос;0.0
90141;140422;;;UNFQ;Актау;Республика Казахстан;KM(*) HSC;;Сплав на основе алюминия;Обслуживающее судно;04.07.2014;07.05.2015;Эстония;90141;;;15;4;5.000 т.;19 т.;13.57 м.;14.43 м.;12.26 м.;4.50 м.;1.20 м.;0.49 м.;15.0;Дизельная;Год постройки ГД: 2014 Страна постройки: Финляндия Фирма постройки ГД: SISU DIESEL INC. Количество и мощность ГД: 2*235 Марка ГД: 74CTIM;;2 - Водометный;9;2* 3;;;;;Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Командно-трансляционное устройство Магнитный компас Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;1.0;3.0;0.0;0.0;0.0;;;;1;Дизельное;0 m3;;55;Трос;0.0
90142;140437;;;UNFR;Актау;Республика Казахстан;KM(*) HSC;;Сплав на основе алюминия;Обслуживающее судно;04.07.2014;07.05.2015;Эстония;90142;;;15;4;5.000 т.;19 т.;13.57 м.;14.43 м.;12.26 м.;4.50 м.;1.20 м.;0.49 м.;15.0;Дизельная;Год постройки ГД: 2014 Страна постройки: Финляндия Фирма постройки ГД: SISU DIESEL INC. Количество и мощность ГД: 2*235 Марка ГД: 74CTIM;;2 - Водометный;9;2* 3;;;;;Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Командно-трансляционное устройство Магнитный компас Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;1.0;3.0;0.0;0.0;0.0;;;;1;Дизельное;0 m3;;55;Трос;0.0
90143;140441;;;UNFS;Актау;Республика Казахстан;KM(*) HSC;;Сплав на основе алюминия;Обслуживающее судно;04.07.2014;07.05.2015;Эстония;90143;;;15;4;5.000 т.;19 т.;13.57 м.;14.43 м.;12.26 м.;4.50 м.;1.20 м.;0.49 м.;15.0;Дизельная;Год постройки ГД: 2014 Страна постройки: Финляндия Фирма постройки ГД: SISU DIESEL INC. Количество и мощность ГД: 2*235 Марка ГД: 74CTIM;;2 - Водометный;9;2* 3;;;;;Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Командно-трансляционное устройство Магнитный компас Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;0.0;0.0;0.0;0.0;0.0;;;;1;Дизельное;0 m3;;55;Трос;0.0
90144;140456;;;UNFT;Актау;Республика Казахстан;KM(*) HSC;;Сплав на основе алюминия;Обслуживающее судно;04.07.2014;07.05.2015;Эстония;90144;;;15;4;5.000 т.;19 т.;13.57 м.;14.43 м.;12.26 м.;4.50 м.;1.20 м.;0.49 м.;15.0;Дизельная;Год постройки ГД: 2014 Страна постройки: Финляндия Фирма постройки ГД: SISU DIESEL INC. Количество и мощность ГД: 2*235 Марка ГД: 74CTIM;;2 - Водометный;9;2* 3;;;;;Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Командно-трансляционное устройство Магнитный компас Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;1.0;3.0;0.0;0.0;0.0;;;;1;Дизельное;0 m3;;55;Трос;0.0
A WIND;714033;7128332;SEA WIND;TJM0029;Криби;Республика Камерун;KM* IB ro-ro passenger ship;;Сталь;Пассажирское/Накатное;01.07.1971;01.03.1972;;397;;;15879;4843;4000.000 т.;10764 т.;154.96 м.;154.96 м.;142.06 м.;22.05 м.;6.82 м.;5.20 м.;17.май;Дизельная;Год постройки ГД: 1972 Страна постройки: Германия Фирма постройки ГД: Количество и мощность ГД: 4*1840 Марка ГД: 8M 453 MAK;;2 - Винт регулируемого шага;4;6* 150;;;;;Аппаратура автоматической идентификационной системы Аппаратура ОВЧ двусторонней радиотелефонной связи с воздушными судами Гирокомпас Измеритель скорости поворота Командно-трансляционное устройство Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Оборудование системы опознавания судов и слежения за ними на дальнем расстоянии Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиолокационная станция со средством автоматической радиолокационной прокладки (РЛС САРП) Радиотелефонная станция ОВЧ (не ГМССБ) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Регистратор данных рейса Система контроля дееспособности вахтенного помощника капитана Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая система охранного оповещения Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Электронная картографическая навигационно-информационная система (ЭКНИС) Эхолот;;;;;7.0;11.0;250.0;;;;;;1097;Дизельное;3034 m3;;;Обыкновенная;50.0
ADMIRAL DE RIBAS;931990;9106900;;Т8А3308;Малакал Харбор;Палау;KM* L4 AUT2;;Сталь;Генгруз;30.11.1993;30.06.1994;Словакия;2913;;;2446 MK-1969;957 MK-1969;3680.000 т.;4877 т.;87.99 м.;87.90 м.;81.85 м.;12.80 м.;7.10 м.;5.50 м.;12.0;Дизельная;Год постройки ГД: 1993 Страна постройки: Германия Фирма постройки ГД: DEUTZ POWER SYSTEMS GMBH & COKG Количество и мощность ГД: 1*1500 Марка ГД: 9/BVB M628;;1 - Винт фиксированного шага цельнолитой;4;3* 104;;;;;Гирокомпас Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиопеленгатор (тоже - РПП) ( (Не используется с 01.02.2009 года) Радиостанция спасательных средств (не ГМССБ) (не используется) Радиотелефонная станция (Не используется с 01.02.2009 года) Радиотелефонная станция ОВЧ (не ГМССБ) Система управления курсом судна (авторулевой) Станция морской спутниковой связи (не ГМССБ) Эхолот;1*4600;;;176;2;4;0;0;0;1 - 56.5*10.2;;;137;Дизельное;1640 m3;;520;Повышенной прочности;36.0
AGATE;41710;9310707;VAULT;YJRB2;Порт-Вила;Вануату;KM* AUT1 ECO ERS LI BWM(T) IGS-IG COW Oil tanker (ESP);;Сталь;Нефтяной танкер;05.11.2004;27.04.2005;Япония;S-Z248;;;28823 MK-1969;13234 MK-1969;48658.000 т.;58000 т.;179.99 м.;179.99 м.;173.47 м.;32.20 м.;19.05 м.;12.60 м.;16.май;Дизельная;Год постройки ГД: 2004 Страна постройки: Япония Фирма постройки ГД: MITSUI-MAN B&W Количество и мощность ГД: 1*9480 Марка ГД: 6S50MC-C;;1 - Винт фиксированного шага цельнолитой;4;;;;;;Аппаратура автоматической идентификационной системы Гирокомпас Командно-трансляционное устройство Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Оборудование системы опознавания судов и слежения за ними на дальнем расстоянии Приемник расширенного группового вызова Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиолокационная станция со средством автоматической радиолокационной прокладки (РЛС САРП) Радиотелефонная станция ультравысоких частот (300-3000 Мгц) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ/ВЧ (ГМССБ) Регистратор данных рейса Система контроля дееспособности вахтенного помощника капитана Система управления курсом судна (авторулевой) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Судовая система охранного оповещения Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Электронная картографическая навигационно-информационная система (ЭКНИС) Эхолот;;;18* 57290;;1;10;;;;;;1*10.0 1*2.0 1*2.0;;Дизельное, Мазут;20897 m3;;;Особой прочности;73.0
AGDAM;40633;9297826;МАХАЧКАЛА-3;4JOJ;Баку;Азербайджанская Республика;KM(*) R1 AUT2 ro-ro ship (|1| within the areas lengthwise fr.(-4)-fr.147 and fr. 177-fr.198);;Сталь;Накатное;30.12.2004;14.06.2006;Хорватия;461;;;8547 MK-1969;3135 MK-1969;5946.000 т.;9900 т.;154.50 м.;154.50 м.;144.92 м.;18.30 м.;7.50 м.;4.70 м.;14.0;Дизельная;Год постройки ГД: 2006 Страна постройки: Хорватия Фирма постройки ГД: ULJANIK-STROJOGRADNJA D.D. Количество и мощность ГД: 2*2000 Марка ГД: 5 S26 MC;;2 - Винт регулируемого шага;4;2* 700 2* 370 1* 100;;;;;Аппаратура автоматической идентификационной системы Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Гирокомпас Командно-трансляционное устройство Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Оборудование системы опознавания судов и слежения за ними на дальнем расстоянии Приемник КВ буквопечатающей аппаратуры (не используется) Приемник расширенного группового вызова Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиолокационная станция со средством автоматической радиолокационной прокладки (РЛС САРП) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ/ВЧ (ГМССБ) Регистратор данных рейса Система управления курсом судна (авторулевой) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Судовая система охранного оповещения Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;;;;;2.0;10.0;12.0;0.0;0.0;;;2*1.0 1*1.0;251;Дизельное, Мазут;1772 m3;ПТ;1035;Повышенной прочности;50.0
AILANA;21276;9232888;AILAMA;9LU2828;Фритаун;Сьерра-Леоне;KM* VCS BWM(T) COW Oil tanker (ESP) TMS;;Сталь;Нефтяной танкер;04.09.2002;01.01.2003;Корея;;;;57171 MK-1969;32742 MK-1969;106074.000 т.;;243.95 м.;243.95 м.;;42.00 м.;;21.00 м.;;;;;;;;;;;;;;;;;;;;;;;;;;Дизельное, Моторное;;;;;
AISHA;888324;;ХАДЖИБЕРДЫ КЛЫЧЕВ;EZKN;Туркменбаши;Туркменистан;KM(*) Ice2 R3 tug;;Сталь;Буксир;29.06.1988;19.07.1989;Польша;11;;;92;27;15.160 т.;153 т.;22.00 м.;22.00 м.;;6.00 м.;3.15 м.;2.18 м.;09.янв;Дизельная;Год постройки ГД: 1987 Страна постройки: Польша Фирма постройки ГД: Количество и мощность ГД: 2*121 Марка ГД: SW 680/195;;2 - Винт фиксированного шага цельнолитой;4;2* 28;;;;;Аппаратура автоматической идентификационной системы Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиолокационная станция со средством автосопровождения (РЛС САС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО);;;;;3.0;3.0;;;;;;;;Дизельное;;;;Повышенной прочности;17.май
AKADEMIK HESEN ALIYEV;853062;8212594;AKADEMIK HASAN ALIYEV;4JFB;Баку;Азербайджанская Республика;KM(*) L3 [1] (at d &lt= 4,25 m) R1 AUT2 ro-ro passenger ship;;;Пассажирское/Накатное;16.02.1985;27.03.1986;Югославия;363;;;11450 MK-1969;3435 MK-1969;3985.000 т.;9061 т.;154.55 м.;154.55 м.;147.00 м.;18.30 м.;13.45 м.;4.50 м.;17.0;Дизельная;Год постройки ГД: 1985 Страна постройки: Югославия Фирма постройки ГД: ULJANIK-STROJOGRADNJA D.D. Количество и мощность ГД: 2*4350 Марка ГД: 6K 45GFCA;;2 - Винт регулируемого шага;4;3* 604;;;;;Аппаратура автоматической идентификационной системы Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Гирокомпас Командно-трансляционное устройство Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Приемник расширенного группового вызова Приемник цифрового избирательного вызова (не используется) Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ/ВЧ (ГМССБ) Регистратор данных рейса Система управления курсом судна (авторулевой) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Судовая система охранного оповещения Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Электронная картографическая навигационно-информационная система (ЭКНИС) Эхолот;1*13550 1*2565;;;;2;14;84;118;0;1 - 11.3*5.9;;;251;Дизельное, Мазут;3142 m3;ПТ;1207;Особой прочности;46.0
AKADEMIK KHOSHBAKHT YUSIFZADEH;190474;9881469;;4JTK;Баку;Азербайджанская Республика;KM(*) Ice1 (hull, machinery) R2-RSN(4,5) AUT1-ICS OMBO LI VCS ECO-S CCO IGS-IG BWM(T) oil/chemical tanker type 2(ESP);;Сталь;Нефтеналивное/Химовоз;21.08.2019;20.12.2022;Азербайджанская Республика;H112;;;5371;2607;7740.000 т.;10414 т.;141.00 м.;141.00 м.;137.08 м.;16.98 м.;6.00 м.;4.50 м.;10.0;Дизельная;Год постройки ГД: 2019 Страна постройки: Финляндия Фирма постройки ГД: WARTSILA FINLAND OY Services Количество и мощность ГД: 2*1200 Марка ГД: W6L20;;1 - Винт фиксированного шага цельнолитой;3;3* 350;;;;;Аппаратура автоматической идентификационной системы Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Гирокомпас Командно-трансляционное устройство Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Оборудование системы опознавания судов и слежения за ними на дальнем расстоянии Приемник расширенного группового вызова Приемник службы НАВТЕКС Приемник цифрового избирательного вызова (не используется) Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ/ВЧ (ГМССБ) Регистратор данных рейса Система контроля дееспособности вахтенного помощника капитана Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Судовая система охранного оповещения Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Электронная картографическая навигационно-информационная система (ЭКНИС) Эхолот;;;6* 9011;;1;8;;;;;;1*5.0 1*3.0;;Дизельное;4417 m3;;763;Особой прочности;36.0
ALAJA;130191;9702663;;EZHK;Туркменбаши;Туркменистан;KM(*) Ice1 [1] R2 AUT1-ICS OMBO LI VCS oil tanker(ESP);;Сталь;Нефтеналивное;23.05.2013;11.10.2013;Россия;9005;;;4793 MK-1969;1851 MK-1969;7116.000 т.;9677 т.;141.50 м.;141.50 м.;135.22 м.;16.84 м.;6.82 м.;4.60 м.;10.0;Дизельная;Год постройки ГД: 2013 Страна постройки: Финляндия Фирма постройки ГД: WARTSILA FINLAND OY Количество и мощность ГД: 2*1200 Марка ГД: W6L20;;2 - Винторулевая колонка;4;3* 296;;;;;Аппаратура автоматической идентификационной системы Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Гирокомпас Командно-трансляционное устройство Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Оборудование системы опознавания судов и слежения за ними на дальнем расстоянии Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиолокационная станция со средством автоматической радиолокационной прокладки (РЛС САРП) Радиопеленгатор (тоже - РПП) ( (Не используется с 01.02.2009 года) Радиотелефонная станция ультравысоких частот (300-3000 Мгц) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ (ГМССБ) Регистратор данных рейса Система контроля дееспособности вахтенного помощника капитана Система приема внешних звуковых сигналов Система управления курсом судна (авторулевой) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Судовая система охранного оповещения Электронная картографическая навигационно-информационная система (ЭКНИС) Эхолот;;;12* 8000;;1;10;0;0;0;;;1*3.0;240;Дизельное, Мазут;4006 m3;ПТПГ;737;Особой прочности;40.0
ALEKSANDR LEBED;855481;8866826;АЛЕКСАНДР ЛЕБЕДЬ;;;Страна неизвестна;KM* L4 R2-RSN;;;Генгруз;08.10.1984;30.09.1985;СССР;1015;;;4972 MK-1969;2425 MK-1969;5142.000 т.;7510 т.;-;139.00 м.;135.00 м.;16.70 м.;5.50 м.;3.78 м.;10.июн;Дизельная;"Год постройки ГД: 1984 Страна постройки: СССР Фирма постройки ГД: ""РУССКИЕ МОТОРЫ"", ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО Количество и мощность ГД: 1*882 Марка ГД: Г-70Год постройки ГД: 1985 Страна постройки: СССР Фирма постройки ГД: ""РУССКИЕ МОТОРЫ"", ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО Количество и мощность ГД: 1*882 Марка ГД: Г-70";;2 - Винт фиксированного шага цельнолитой;4;2* 100;;;;;Аппаратура автоматической идентификационной системы Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Гирокомпас Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Приемник службы НАВТЕКС Приемник цифрового избирательного вызова (не используется) Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ/ВЧ (ГМССБ) Система контроля дееспособности вахтенного помощника капитана Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Судовая система охранного оповещения Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;2*2130 1*2245 1*2560 1*2463;;;;1;7;0;0;0;2 - 21.5*13.6 2 - 18.6*13.6;;;145;Дизельное;3101 m3;;708;Обыкновенная;44.0
ALEKSEY SLOBODCHIKOV;902362;8845640;АЛЕКСЕЙ СЛОБОДЧИКОВ;ZMAL;Нельсон;Новая Зеландия;KM(*) L2 [1] AUT2 fishing vessel;;Сталь;Рыболовное;10.08.1990;24.06.1991;СССР;593;;;4407 MK-1969;1322 MK-1969;1810.000 т.;5720 т.;104.50 м.;104.50 м.;96.40 м.;16.03 м.;10.20 м.;5.90 м.;16.янв;Дизельная;"Год постройки ГД: 1990 Страна постройки: СССР Фирма постройки ГД: ""РУССКИЙ ДИЗЕЛЬ"", ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО Количество и мощность ГД: 2*2576 Марка ГД: 6ЧН 40/46 ОМ4";;1 - Винт регулируемого шага;4;2* 1600 3* 200;;REF(*) QUICK FREEZING;-28;R407F;Аппаратура автоматической идентификационной системы Аппаратура ОВЧ двусторонней радиотелефонной связи (ГМССБ) Гирокомпас Командно-трансляционное устройство Лаг (устройство для измерения скорости и пройденного расстояния относительно воды) Магнитный компас Приемник расширенного группового вызова Приемник службы НАВТЕКС Приемник электронной системы определения местоположения (ЭСОМ) Радиолокационная станция (не СОЛАС) Радиолокационная станция со средством автоматической радиолокационной прокладки (РЛС САРП) Радиоустановка ОВЧ (ГМССБ) Радиоустановка СЧ/ВЧ (ГМССБ) Система управления курсом судна (авторулевой) Спутниковый аварийный радиобуй системы КОСПАС-САРСАТ Судовая земная станция признанной подвижной спутниковой службы (ГМССБ) Судовая система охранного оповещения Устройство указания местоположения для целей поиска и спасания: радиолокационный ответчик (РЛО) Эхолот;1*370 1*50;2* 2219;2* 35;;2;7;0;0;0;1 - 2.0*1.6Р 1 - 2.5*2.7Р 1 - 2.7*2.9;4*3.2 2*2.8;;1226;Дизельное, Мазут, Моторное;774 m3;ПТ;843;Повышенной прочности;46.0
