vessel_name;Регистровый номер;Номер ИМО;Бывшее название;Позывной;Порт приписки;Флаг;Символ класса;Переоборудование/модернизация существенного характера;Основной тип;Дата постройки;Страна постройки;Строительный номер;Дата значительной части;Значительная часть;Валовая вместимость;Чистая вместимость;Дедвейт;Водоизмещение;Длина наибольшая (теоретическая);Длина габаритная;Длина расчетная;Ширина габаритная;Высота борта;Осадка;Скорость;Тип силовой установки;Главные двигатели;Количество лопастей;Общая мощность генераторов;Главные котлы;Холодильная установка;Рабочая температура;Хладагенты;Радио-навигационное оборудование;Охлаждаемые грузовые помещения;Наливные танки;Количество палуб;Количество переборок;Число пассажиров коечные;Число пассажиров бескоечных;Спецперсонал;Грузовые люки (число и размер в свету);Стрелы;Краны;Запасы топлива;Типы топлива;Водяной балласт;Подогреватели;Характеристика снабжения;Категория якорных цепей;Калибр якорных цепей;Проект судна;Дата постройки (первое освидетельствование);Место постройки;Длина конструктивная;Ширина конструктивная;Высота надводного борта;Грузоподъемность;Количество поперечных переборок;Количество продольных переборок;Пассажировместимость;Экипаж;Орг. группа;Количество наливных танков;Суммарный объем наливных танков;Грузоподъемность первой стрелы;Грузоподъемность второй стрелы;Грузоподъемность третьей стрелы;Материал корпуса;Материал надстройки;Марка главной силовой установки;ГЭД, всего;ГЭД, кВт всех;ГЭС, кВт всех;Завод постройки;Город постройки;Завод достройки;Город достройки;Заложено;Спущено на воду;Построено;Владелец;Оператор;Регистрация;Бортовой номер;MMSI;Текущее состояние;Примечания;Количество движителей;Тип движителей;Количество ГЭД;Общая мощность ГЭД;Количество грузовых трюмов;Кубатура грузовых трюмов;Количество контейнеров;Тип контейнеров;Источник
Khodjavand;000015;9284104;;4JLZ;Баку  ;;KM(*) L3[1] R1 AUT1 oil tanker(ESP);;;;;5004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19612А;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2000-02-11;2003-05-08;2003-08-26;;;РМРС;;423103100; Эксплуатируется ;;;;;;;;;;Fleetphoto
Анабар;000023;9194012;;UBCW;Санкт-Петербург  ;;KM(*) Arc5 (at d <= 9,0 m) Arc4 (at d <= 9,8 m) [1] AUT1 oil tanker(ESP);;;;;02734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20071;;;;;;;;;;;;;;;;;;;;;;;ФГУП «Адмиралтейские верфи»; Санкт-Петербург;;;2000-08-25;2002-05-23;2002-10-09;;;РМРС;;273435910; Эксплуатируется ;;;;;;;;;;Fleetphoto
Кормчий;000053;8972027;;UDHE;Петропавловск-Камчатский  ;;КМ(*) Л4 I рыболовное;;;;;318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1328, тип Балтика;;;;;;;;;;;;;;;;;;;;;;;Сретенский судостроительный завод; Сретенск;;;;;2001-12-20;;;РМРС;П-0841;; Не эксплуатируется ;;;;;;;;;;Fleetphoto
Валерий Маслаков;000104;9231391;;UEAG;Петропавловск-Камчатский  ;;KM(*) L3 AUT3 fishing vessel;;;;;01521;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70126, тип Валерий Маслаков;;;;;;;;;;;;;;;;;;;;;;;"ФГУП ""Дальневосточный завод ""Звезда"""; Большой Камень;;;;;2003-03-14;;;РМРС;П-1379;273424250; Эксплуатируется ;;;;;;;;;;Fleetphoto
Наплавной Мост На Р.лямин 46км;000111;;;;Омск  ;;Р1,2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ООО «Ханты-Мансийск РемонтФлот»; Ханты-Мансийск;ООО «Ханты-Мансийск РемонтФлот»; Ханты-Мансийск;;;2011-07-11;;;РКО (РРР до 2022);;; Не эксплуатируется ;Проект 	ТП 35.10/НМ260;;;;;;;;;Fleetphoto
160км Пр.юганская Обь;000112;;;;Омск  ;;Р1,2;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;352(всех модификаций);;;;;;;;;;;;;;;;;;;;;;;ООО «Речной порт Нефтеюганск»;;;;;;2011-10-24;;;РКО (РРР до 2022);;; Не эксплуатируется ;Проект 352.870;;;;;;;;;Fleetphoto
Река Обь 1263км;000113;;;;Омск  ;;Р1,2;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Р-56;;;;;;;;;;;;;;;;;;;;;;;ООО «Речной порт Нефтеюганск»;;;;;;2011-12-30;;;РКО (РРР до 2022);;; Не эксплуатируется ;Проект Р-56/352.877;;;;;;;;;Fleetphoto
Протока Чебыковская (1267км Р.);000114;;;;Омск  ;;Р1,2;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;352(всех модификаций);;;;;;;;;;;;;;;;;;;;;;;ООО «Речной порт Нефтеюганск»;;;;;;2011-12-27;;;РКО (РРР до 2022);;; Не эксплуатируется ;Проект Р-56/352.860;;;;;;;;;Fleetphoto
001;001;;;;(Армения)  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;КС-820Р;;;;;;;;;;;;;;;;;;;;;;;Костромской судомеханический завод; Кострома;;;;2023-07-10;;;;;;; Эксплуатируется ;;;;;;;;;;Fleetphoto
002;002;;;;(Армения)  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;КС-820Р;;;;;;;;;;;;;;;;;;;;;;;Костромской судомеханический завод; Кострома;;;;2023-07-10;;;;;;; Эксплуатируется ;;;;;;;;;;Fleetphoto
Zolotoy Telenok;006402;;;UUAP9;Киев  ;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82440;;;;;;;;;;;;;;;;;;;;;;;ОАО «Сокольская судоверфь»; Сокольское;;;;;2005-07-01;;;РСУ;;272108900; Эксплуатируется ;Проект: 82440/04/08-824403Т.;;;;;;;;;Fleetphoto
Нiбулон Експрес-2;009818;;;UXDH;Николаев  ;;КМ+В1 СПК (пасажирське);;;;;606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03521;;;;;;;;;;;;;;;;;;;;;;;"ОАО «Феодосийская судостроительная компания ""Море""»"; Феодосия;;;;;2002-08-12;;;РСУ;;272154900; Эксплуатируется ;;;;;;;;;;Fleetphoto
Нiбулон Експрес-1;009879;;;UXDG;Николаев  ;;КМ+В1 СПК (пасажирське);;;;;604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03521;;;;;;;;;;;;;;;;;;;;;;;"ОАО «Феодосийская судостроительная компания ""Море""»"; Феодосия;;;;;2002-01-01;;;РСУ;;272154800; Эксплуатируется ;;;;;;;;;;Fleetphoto
Св. Апостол Андрей;010017;9247601;;UBJI5;Санкт-Петербург  ;;KM(*) Ice2[1] R1 AUT1;;;;;901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01010, тип Валдай;;;;;;;;;;;;;;;;;;;;;;;Северная верфь; Санкт-Петербург;;;2001-01-26;;2002-12-03;;;РМРС;;273355260; Эксплуатируется ;;;;;;;;;;Fleetphoto
Св. Князь Владимир;010055;9247613;;UBKI2;Санкт-Петербург  ;;KM(*) Ice2[1] R1 AUT1;;;;;902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01010, тип Валдай;;;;;;;;;;;;;;;;;;;;;;;Северная верфь; Санкт-Петербург;;;2001-05-25;;2003-03-06;;;РМРС;;273350360; Эксплуатируется ;;;;;;;;;;Fleetphoto
Святитель Алексий;010178;9247625;;UBJI8;Санкт-Петербург  ;;KM(*) Ice2[1] R1 AUT1;;;;;903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01010, тип Валдай;;;;;;;;;;;;;;;;;;;;;;;Северная верфь; Санкт-Петербург;;;2001-09-10;2003-09-18;2003-11-14;;;РМРС;;273358260; Эксплуатируется ;;;;;;;;;;Fleetphoto
Св. Георгий Победоносец;010182;9247637;;UBJI6;Санкт-Петербург  ;;KM(*) Ice2[1] R1 AUT1;;;;;904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01010, тип Валдай;;;;;;;;;;;;;;;;;;;;;;;Северная верфь; Санкт-Петербург;;;2001-12-21;;2003-08-11;;;РМРС;;273356260; Эксплуатируется ;;;;;;;;;;Fleetphoto
Нижний Новгород;010318;9278959;;UFPG;Санкт-Петербург  ;;KM(*) Ice1 R2-RSN AUT3 Oil tanker (ESP)/Tanker (molasses);;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19614, тип Нижний Новгород;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2001-12-28;;2002-10-28;;;РМРС;;273442410; Эксплуатируется ;;;;;;;;;;Fleetphoto
Рб-ленок;010458;;;;Владивосток  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21320, 21321;;;;;;;;;;;;;;;;;;;;;;;ОАО «Восточная верфь»; Владивосток;;;;;2002-01-01;;;РМРС;ВК-0710;; Эксплуатируется ;;;;;;;;;;Fleetphoto
Рб-703;010479;;;;Владивосток  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21320, 21321;;;;;;;;;;;;;;;;;;;;;;;ОАО «Восточная верфь»; Владивосток;;;;;2002-01-01;;;РМРС;ВК-0709;; Эксплуатируется ;;;;;;;;;;Fleetphoto
Маргон;010500;;;;Астрахань  ;;K(*) R3-RSN pontoon;;;;;98058/98059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ПО «Севмаш»; Северодвинск;;;;;2001-08-29;;;РМРС;;; Эксплуатируется ;"Баржа-площадка грузоподъемностью 6800 т
Дедвейт 9228т
Состоит из двух cоединенных барж: Mar и Gon";;;;;;;;;Fleetphoto
Eurica;01503L;9232486;;YLPK;Рига  ;;I✠Hull✠Mach General cargo ship-heavycargo;;;;;478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Limbo Combi Porter 90;;;;;;;;;;;;;;;;;;;;;;;"ОАО «Прибалтийский судостроительный завод ""Янтарь""»"; Калининград;Scheepswerf Peters B.V. / Peters Shipyard; Кампен;;2000-09-29;2001-01-02;;;BV;;275497000; Эксплуатируется ;;;;;;;;;;Fleetphoto
Amadeus;01504M;9232498;;J8B4062;Кингстаун  ;;I ✠ Hull ✠ Mach, General cargo ship -heavycargo (02029G147 kN/m2), Unrestricted navigation, STRENGTHBOTTOM;;;;;479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Limbo Combi Porter 90;;;;;;;;;;;;;;;;;;;;;;;"ОАО «Прибалтийский судостроительный завод ""Янтарь""»"; Калининград;Scheepswerf Peters B.V. / Peters Shipyard; Кампен;;2000-12-09;2001-03-31;;;BV;;376205000; Эксплуатируется ;Информация о судне;;;;;;;;;Fleetphoto
Athos;01837Y;9246267;;V2BV1;Сент-Джонс  ;;II General cargo ship -heavycargo;;;;;(905);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"ОАО «Прибалтийский судостроительный завод ""Янтарь""»"; Калининград;Scheepswerf A.A. Vink; Слидрехт;;2001-01-01;2001-08-31;;;BV;;304933000; Эксплуатируется ;;;;;;;;;;Fleetphoto
Jalil Mammedguluzade;020061;9297723;;4JMB;Баку  ;;KM(*) L3 [1] R1 AUT1 oil tanker(ESP);;;;;5005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19612А;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2002-05-07;2003-06-28;2003-10-10;;;РМРС;;423104100; Эксплуатируется ;;;;;;;;;;Fleetphoto
Санкт-петербург;020131;9288980;;UFZC;Астрахань  ;;KM(*) Ice1 R2-RSN AUT3 oil tanker(ESP);;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19614, тип Нижний Новгород;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2002-04-24;;2003-05-27;;;РМРС;;273443330; Эксплуатируется ;;;;;;;;;;Fleetphoto
Суздаль;020146;9288992;;UFZV;Астрахань  ;;KM(*) Ice1 R2-RSN AUT3 oil tanker(ESP);;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19614, тип Нижний Новгород;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2002-05-15;;2003-06-19;;;РМРС;;273444330; Эксплуатируется ;;;;;;;;;;Fleetphoto
Ростовчанин;020150;9289001;;UGMX;Астрахань  ;;KM(*) Ice1 R2-RSN AUT3 oil tanker(ESP);;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19614, тип Нижний Новгород;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2002-06-14;;2003-07-28;;;РМРС;;273445330; Эксплуатируется ;;;;;;;;;;Fleetphoto
Звезда Рыбака;020184;9311323;;UDWB;Мурманск  ;;KM(*) L4 R1 fishing vessel;;;;;801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21280, тип Звезда Рыбака;;;;;;;;;;;;;;;;;;;;;;;Судоремонтный завод «Слип»; Астрахань;;;;2003-07-01;2004-06-18;;;РМРС;МК-0477;273445060; Эксплуатируется ;"Маломерный рыболовный траулер рефрижераторный типа ""Звезда Рыбака"" проект 21280.";;;;;;;;;Fleetphoto
Звезда Удачи;020199;9311335;;UDRL;Мурманск  ;;KM(*) Ice1 R1 fishing vessel;;;;;802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21280, тип Звезда Рыбака;;;;;;;;;;;;;;;;;;;;;;;Судоремонтный завод «Слип»; Астрахань;;;;2003-08-01;2004-06-18;;;РМРС;МК-0478;273444060; Эксплуатируется ;;;;;;;;;;Fleetphoto
Брянск;020216;8974037;;;Санкт-Петербург  ;;KM(*) Ice1 R3 AUT3 oil recovery ship;;;;;461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21460;;;;;;;;;;;;;;;;;;;;;;;Выборгский судостроительный завод; Выборг;;;2002-03-20;;2002-12-11;;;РМРС;;; Эксплуатируется ;;;;;;;;;;Fleetphoto
Русич-1;020292;9302308;;UAAA;Санкт-Петербург  ;;KM(*) Ice2[1] R1 AUT1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00101, тип Русич;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2002-10-18;2003-09-14;2003-11-30;;;РМРС;;273313430; Эксплуатируется ;Головное судно проекта.;;;;;;;;;Fleetphoto
Draco;020324;9280794;;OJRW;Коккола  ;;KM* Arc4 R3 AUT3 tug;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Damen ASD Tug 2509;;;;;;;;;;;;;;;;;;;;;;;"АО «Ленинградский ССЗ ""Пелла""»"; Отрадное;;;2002-04-04;;2003-09-17;;;РМРС;;230667000; Эксплуатируется ;;;;;;;;;;Fleetphoto
Днiпро-101;025913;;;;Херсон  ;;;;;;;1602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;003040;;;;;;;;;;;;;;;;;;;;;;;ОАО «Окская Судоверфь»; Навашино;;;;;2002-09-23;;;РСУ;;; Эксплуатируется ;Проект: 003040/003040СП. Переоборудована в 2009 году;;;;;;;;;Fleetphoto
Днiпро-102;025915;;;;Херсон  ;;;;;;;1603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;003040;;;;;;;;;;;;;;;;;;;;;;;ОАО «Окская Судоверфь»; Навашино;;;;;2003-06-20;;;РСУ;;; Эксплуатируется ;Проект: 003040/003040СП. Переоборудована в 2009 году;;;;;;;;;Fleetphoto
Np 274;02882K;;;11689;Кингстаун  ;;I ✠ Hull Pontoon Unrestricted navigation;;;;;274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОАО «Архангельская РЭБ флота»; Архангельск;;;;;2002-05-22;;;BV;;; Эксплуатируется ;"GT: 544
NT: 163

Длина наибольшая: 50 м
Длина между перпендикулярами: 48 м
Ширина: 14 м
Выстота борта: 3 м
Осадка: 2.31 м
Надводный борт: 648 мм
Материал корпуса: сталь";;;;;;;;;Fleetphoto
Shi Ji Kuai Hang;02F2016;9275086;;BPEP;Шанхай  ;;;;;;;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Superfoil 40;;;;;;;;;;;;;;;;;;;;;;;"ОАО «Судостроительная фирма ""Алмаз""»"; Санкт-Петербург;;;;;2002-05-28;;;CCS;;412372480; Эксплуатируется ;;;;;;;;;;Fleetphoto
Флагман;030025;8982773;;UIAQ;Махачкала  ;;КМ(*)ЛУ3 III А3 буксир;;;;;901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90600;;;;;;;;;;;;;;;;;;;;;;;"АО «Ленинградский ССЗ ""Пелла""»"; Отрадное;;;2002-12-24;;2003-12-24;;;РМРС;;273440190; Эксплуатируется ;;;;;;;;;;Fleetphoto
Тольятти;030030;9329746;;;Новороссийск  ;;КМ(*)ЛУ3 III А3 буксир;;;;;274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04983, тип Антон Мазин, шифр «Зюйд»;;;;;;;;;;;;;;;;;;;;;;;ООО «Гороховецкий судостроительный завод»; Гороховец;;;;;2004-07-15;;;РМРС;;; не эксплуатируется с 2007 года ;;;;;;;;;;Fleetphoto
President Heydar Aliyev;030063;9284128;;4JMP;Баку  ;;KM(*) Ice1[1] R1 AUT1 oil tanker(ESP);;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19619, тип President Heydar Aliyev;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2003-05-08;;2004-10-11;;;РМРС;;423128100; Эксплуатируется ;;;;;;;;;;Fleetphoto
Русич-2;030082;9317016;;UAQG;Санкт-Петербург  ;;KM(*) Ice2[1] R1 AUT1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00101, тип Русич;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2003-06-03;2004-02-28;2004-06-18;;;РМРС;;273314430; Эксплуатируется ;;;;;;;;;;Fleetphoto
Babek;030097;9284130;;4JMR;Баку  ;;KM(*) Ice1[1] R1 AUT1 oil tanker(ESP);;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19619, тип President Heydar Aliyev;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2003-06-27;;2004-11-24;;;РМРС;;423155100; Эксплуатируется ;;;;;;;;;;Fleetphoto
Танаис;030171;9305336;;UBLF2;Таганрог  ;;KM(*) Ice2[1] R2-RSN AUT1;;;;;1901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;006RSD02, тип Надежда;;;;;;;;;;;;;;;;;;;;;;;ОАО «Окская Судоверфь»; Навашино;;;2003-07-27;2007-09-16;2008-03-25;;;РМРС;;273330220; Эксплуатируется ;"Валовая вместимость: 5723 р.т
Дедвейт: 7078 т";;;;;;;;;Fleetphoto
Санар-14;030186;9313589;;UHSW;Таганрог  ;;KM(*) Ice1 R2-RSN AUT3 oil tanker(ESP);;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19614, тип Нижний Новгород;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2003-09-25;2004-04-15;2004-06-23;;;РМРС;;273445480; Эксплуатируется ;;;;;;;;;;Fleetphoto
Тольяттиазот;030190;9325879;;;Новороссийск  ;;КМ(*)ЛУ2 III А3 буксир;;;;;902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90600;;;;;;;;;;;;;;;;;;;;;;;"АО «Ленинградский ССЗ ""Пелла""»"; Отрадное;;;;;2004-06-15;;;РМРС;;; Не эксплуатируется ;;;;;;;;;;Fleetphoto
Азот;030203;9329734;;;Новороссийск  ;;КМ(*)ЛУ2 III А3 буксир;;;;;903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90600;;;;;;;;;;;;;;;;;;;;;;;"АО «Ленинградский ССЗ ""Пелла""»"; Отрадное;;;;;2004-07-12;;;РМРС;;; Не эксплуатируется ;;;;;;;;;;Fleetphoto
Русич;030218;9332652;;UBBG2;Санкт-Петербург  ;;KM(*) L1 R2 AUT1 tug;;;;;601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16609, 16609/2;;;;;;;;;;;;;;;;;;;;;;;"АО «Ленинградский ССЗ ""Пелла""»"; Отрадное;;;2003-12-10;;2004-11-22;;;РМРС;;273435680; Эксплуатируется ;;;;;;;;;;Fleetphoto
Санар-10;030237;9300348;;UBYS;Таганрог  ;;KM(*) Ice1 R2-RSN AUT3 oil tanker(ESP);;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19614, тип Нижний Новгород;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2003-12-10;2004-07-21;2004-09-22;;;РМРС;;273444390; Эксплуатируется ;;;;;;;;;;Fleetphoto
Русич-3;030256;9331452;;UBEZ;Санкт-Петербург  ;;KM(*) Ice2[1] R1 AUT1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00101, тип Русич;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2003-11-04;;2004-12-02;;;РМРС;;273315430; Эксплуатируется ;;;;;;;;;;Fleetphoto
Rasul Rza;030260;9294458;;4JRO;Баку  ;;КМ(*)ЛУ2[1] II А3;;;;;001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;005RSD03, тип Россиянин;;;;;;;;;;;;;;;;;;;;;;;ООО «Онежский судостроительный завод»; Петрозаводск;;;2003-05-14;2004-07-21;2005-04-29;;;РМРС;;423056100; Эксплуатируется ;Головное судно проекта;;;;;;;;;Fleetphoto
General Aslanov;030275;9294460;;4JRM;Баку  ;;KM(*) Ice2 [1] R2 AUT3;;;;;002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;005RSD03, тип Россиянин;;;;;;;;;;;;;;;;;;;;;;;ООО «Онежский судостроительный завод»; Петрозаводск;;;2003-11-18;2004-11-26;2005-07-11;;;РМРС;;423035100; Эксплуатируется ;;;;;;;;;;Fleetphoto
Палойл-3;030283;8645741;;;Таганрог  ;;K (*) R3-RSN oil carrier (ESP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;004ROB05, тип Палойл;;;;;;;;;;;;;;;;;;;;;;;ОАО «Волгоградский судоремонтно-судостроительный завод»; Волгоград;;;2003-09-26;2004-02-04;2004-04-14;;;РМРС;;; Не эксплуатируется с 2018 года ;;;;;;;;;;Fleetphoto
Русич-4;030311;9331799;;UBFO;Санкт-Петербург  ;;КМ(*) ЛУ2[1] I А1;;;;;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00101, тип Русич;;;;;;;;;;;;;;;;;;;;;;;ОАО «Окская Судоверфь»; Навашино;;;2003-12-05;;2004-12-22;;;РМРС;;273316430; Эксплуатируется ;;;;;;;;;;Fleetphoto
Рюрик;030364;9340790;;UBUA;Санкт-Петербург  ;;KM(*) Arc5 R2 AUT1 FF3WS tug;;;;;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21110;;;;;;;;;;;;;;;;;;;;;;;Выборгский судостроительный завод; Выборг;;;2003-12-16;;2005-01-20;;;РМРС;;273435190; Эксплуатируется ;;;;;;;;;;Fleetphoto
Аргус;030379;9353761;;UGZN;Восточный  ;;KM(*) Ice1 R3 AUT3 bilge water removing ship;;;;;01531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21460;;;;;;;;;;;;;;;;;;;;;;;"ФГУП ""Дальневосточный завод ""Звезда"""; Большой Камень;;;2004-03-01;2004-10-01;2005-04-11;;;РМРС;;; Эксплуатируется ;Судно сборщик льяльных вод,дедвейт- 503 т;;;;;;;;;Fleetphoto
Палойл-1;030434;1518482;;;Таганрог  ;;K (*) R3-RSN oil carrier (ESP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;004ROB05, тип Палойл;;;;;;;;;;;;;;;;;;;;;;;ОАО «Волгоградский судоремонтно-судостроительный завод»; Волгоград;;;;;;;;РМРС;;; Не эксплуатируется ;В 2018 г. не работала.;;;;;;;;;Fleetphoto
Палойл-2;030449;1518494;;;Новороссийск  ;;K (*) R3-RSN oil carrier (ESP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;004ROB05, тип Палойл;;;;;;;;;;;;;;;;;;;;;;;ОАО «Волгоградский судоремонтно-судостроительный завод»; Волгоград;;;;;2003-01-01;;;РМРС;;; Эксплуатируется ;В 2018-2024 гг. не работала.;;;;;;;;;Fleetphoto
Афродита;030595;;;;Таганрог  ;;KE(*) R3 RSN Oil Tanker;;;;;1702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2731, 2731.2, 2731.2у, 2731.2ум, 2731.3, 2731.4, 27310, 27311;;;;;;;;;;;;;;;;;;;;;;;ОАО «Костромской судостроительно-судоремонтный завод»; Кострома;;;2003-11-06;2004-01-01;2004-07-04;;;РМРС;Д-04-1625;; Эксплуатируется ;Первоначально проект 2731.1, в период с 11.2008 г. по 05.2009 г. модернизирована по проекту 2731.4 с увеличением линейного габарита и грузоподъёмности.;;;;;;;;;Fleetphoto
Афина;030612;;;;Таганрог  ;;КЕ ★ R3-RSN oil tanker;;;;;1701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2731, 2731.2, 2731.2у, 2731.2ум, 2731.3, 2731.4, 27310, 27311;;;;;;;;;;;;;;;;;;;;;;;ОАО «Костромской судостроительно-судоремонтный завод»; Кострома;;;;;2004-05-24;;;РМРС;;; Эксплуатируется ;Проект 2731.2, модернизирована под морское сцепное устройство в 2010 году по проекту 2731.2/MEB.;;;;;;;;;Fleetphoto
Палойл-4;040027;8646288;;;Таганрог  ;;K (*) R3-RSN oil carrier (ESP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;004ROB05, тип Палойл;;;;;;;;;;;;;;;;;;;;;;;ОАО «Волгоградский судоремонтно-судостроительный завод»; Волгоград;;;2004-01-31;2004-04-30;2004-05-14;;;РМРС;;; Не эксплуатируется ;В 2018 г. не работала.;;;;;;;;;Fleetphoto
