vessel_name;Регистровый номер;Номер ИМО;Бывшее название;Позывной;Порт приписки;Флаг;Символ класса;Переоборудование/модернизация существенного характера;Основной тип;Дата постройки;Страна постройки;Строительный номер;Дата значительной части;Значительная часть;Валовая вместимость;Чистая вместимость;Дедвейт;Водоизмещение;Длина наибольшая (теоретическая);Длина габаритная;Длина расчетная;Ширина габаритная;Высота борта;Осадка;Скорость;Тип силовой установки;Главные двигатели;Количество лопастей;Общая мощность генераторов;Главные котлы;Холодильная установка;Рабочая температура;Хладагенты;Радио-навигационное оборудование;Охлаждаемые грузовые помещения;Наливные танки;Количество палуб;Количество переборок;Число пассажиров коечные;Число пассажиров бескоечных;Спецперсонал;Грузовые люки (число и размер в свету);Стрелы;Краны;Запасы топлива;Типы топлива;Водяной балласт;Подогреватели;Характеристика снабжения;Категория якорных цепей;Калибр якорных цепей;Проект судна;Дата постройки (первое освидетельствование);Место постройки;Длина конструктивная;Ширина конструктивная;Высота надводного борта;Грузоподъемность;Количество поперечных переборок;Количество продольных переборок;Пассажировместимость;Экипаж;Орг. группа;Количество наливных танков;Суммарный объем наливных танков;Грузоподъемность первой стрелы;Грузоподъемность второй стрелы;Грузоподъемность третьей стрелы;Материал корпуса;Материал надстройки;Марка главной силовой установки;ГЭД, всего;ГЭД, кВт всех;ГЭС, кВт всех;Завод постройки;Город постройки;Завод достройки;Город достройки;Заложено;Спущено на воду;Построено;Владелец;Оператор;Регистрация;Бортовой номер;MMSI;Текущее состояние;Примечания;Количество движителей;Тип движителей;Количество ГЭД;Общая мощность ГЭД;Количество грузовых трюмов;Кубатура грузовых трюмов;Количество контейнеров;Тип контейнеров;Источник
;92143;;;;;;;;;;;;;;343.0;103.0;86.0;414.0;;40.0;;8.0;3.0;;;Дизельный;;;294.0;;;;;;;;;;;;;;;;;;;;;;;758АМ;24.07.1975;Пермский ССЗ,Пермь;38.0;8.0;1.0;0.0;7;0;0;10;0.0;0;0.0;0.0;0.0;0.0;ВСт3сп4;ВСт3сп4;6NVD-48U;0.0;0.0;100.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92144;;;;;;;;;;;;;;428.0;0.0;74.0;723.0;;40.0;;8.0;3.0;;;Дизельный;;;294.0;;;;;;;;;;;;;;;;;;;;;;;758АМ;30.09.1975;Пермь;38.0;8.0;1.0;0.0;7;0;0;12;0.0;0;0.0;0.0;0.0;0.0;ВСт3;ВСт3;6NVD-48U;0.0;0.0;100.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92148;;;;;;;;;;;;;;372.0;0.0;85.0;400.0;;40.0;;8.0;3.0;;;Дизельный;;;294.0;;;;;;;;;;;;;;;;;;;;;;;758Б;01.07.1976;Пермь;38.0;8.0;1.0;0.0;7;0;0;12;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;6NVD-48;0.0;0.0;160.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92150;;;;;;;;;;;;;;360.0;0.0;95.0;419.0;;40.0;;8.0;3.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;758Б;09.06.1977;Пермь;38.0;8.0;1.0;0.0;7;0;0;13;0.0;0;0.0;0.0;0.0;0.0;СтВст3вп2;СтальВст3сп;6NVD-48;0.0;0.0;100.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92153;;;;;;;;;;;;;;157.0;0.0;12.0;131.0;;28.0;;6.0;1.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;911В;28.08.1977;СРЗ им.Дзержинского, г.Пермь;27.0;6.0;0.0;0.0;7;0;0;7;0.0;0;0.0;0.0;0.0;0.0;Сталь;Сталь;6ЧСП18/22;0.0;0.0;60.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92154;;;;;;;;;;;;;;337.0;101.0;85.0;411.0;;40.0;;8.0;3.0;;;Дизельный;;;294.0;;;;;;;;;;;;;;;;;;;;;;;758Б;01.01.1977;"завод ""Кама"",Пермь";38.0;8.0;1.0;0.0;7;0;0;12;0.0;0;0.0;0.0;0.0;0.0;ВСт3сп4 ГОСТ 5521-67;ВСт3сп2;6NVD-48U (6ЧР32/48);0.0;0.0;100.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92155;;;;;;;;;;;;;;337.0;98.0;74.0;408.0;;40.0;;8.0;3.0;;;Дизельный;;;294.1176;;;;;;;;;;;;;;;;;;;;;;;758Б;12.10.1977;Пермский ССЗ;38.0;8.0;1.0;0.0;7;0;0;9;0.0;0;0.0;0.0;0.0;0.0;ВСт3сп2;ВСт3сп2;8190ZLCA2-2 (8ЧН19/21),8190ZLCZA2-2R(8ЧН19/21);0.0;0.0;130.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92160;;;;;;;;;;;;;;129.0;0.0;72.0;144.0;;31.0;;10.0;1.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;774;01.07.1968;Чистополь;31.0;8.0;0.0;60.0;4;0;77;2;0.0;0;0.0;0.0;0.0;0.0;Сталь;Ст3сп;ЯМЗ-238ГМ2;0.0;0.0;3.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92169;;;;;;;;;;;;;;230.0;0.0;60.0;140.0;;31.0;;10.0;1.0;;;Дизельный;;;176.0;;;;;;;;;;;;;;;;;;;;;;;774;01.08.1969;Чистополь;34.0;8.0;0.0;60.0;4;0;150;13;0.0;0;0.0;0.0;0.0;0.0;Сталь Вст 3сп;Сталь Ст3;WD10С190-15;0.0;0.0;30.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92170;;;;;;;;;;;;;;129.0;0.0;68.0;140.0;;31.0;;10.0;1.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;774;01.07.1969;Чистопольский СРЗ, Чистополь;31.0;8.0;0.0;60.0;4;0;77;2;0.0;0;0.0;0.0;0.0;0.0;Сталь Ст3;Сталь;ЯМЗ-238ГМ2 (8ЧСП 14/15);0.0;0.0;0.8;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
